x-axis,v1,v2
second,Volt,Volt
+681.250E-06,+2.726394470E+00,+218.169000E-03
+682.813E-06,+2.701469847E+00,+235.254427E-03
+684.375E-06,+2.676545224E+00,+252.339854E-03
+685.938E-06,+2.651620601E+00,+269.425281E-03
+687.500E-06,+2.626695979E+00,+286.510707E-03
+689.063E-06,+2.601972361E+00,+520.430303E-03
+690.625E-06,+2.577248743E+00,+754.349898E-03
+692.188E-06,+2.552525125E+00,+988.269494E-03
+693.750E-06,+2.527801507E+00,+1.222189089E+00
+695.313E-06,+2.503077889E+00,+1.456108685E+00
+696.875E-06,+2.478354272E+00,+1.690028280E+00
+698.438E-06,+2.453630654E+00,+1.923947876E+00
+700.000E-06,+2.428907036E+00,+2.157867471E+00
+701.563E-06,+2.404183418E+00,+2.391787067E+00
+703.125E-06,+2.379459800E+00,+2.625706662E+00
+704.688E-06,+2.354334172E+00,+2.823696610E+00
+706.250E-06,+2.329208545E+00,+3.021686558E+00
+707.813E-06,+2.304082917E+00,+3.219676505E+00
+709.375E-06,+2.278957289E+00,+3.417666453E+00
+710.938E-06,+2.253831661E+00,+3.615656400E+00
+712.500E-06,+2.228706033E+00,+3.813646348E+00
+714.063E-06,+2.203580405E+00,+4.011636296E+00
+715.625E-06,+2.178454777E+00,+4.209626243E+00
+717.188E-06,+2.153329149E+00,+4.407616191E+00
+718.750E-06,+2.128203522E+00,+4.605606139E+00
+720.313E-06,+2.103479904E+00,+4.627967947E+00
+721.875E-06,+2.078756286E+00,+4.650329756E+00
+723.438E-06,+2.054032668E+00,+4.672691565E+00
+725.000E-06,+2.029309050E+00,+4.695053374E+00
+726.563E-06,+2.004585432E+00,+4.717415183E+00
+728.125E-06,+1.979861815E+00,+4.739776991E+00
+729.688E-06,+1.955138197E+00,+4.762138800E+00
+731.250E-06,+1.930414579E+00,+4.784500609E+00
+732.813E-06,+1.905690961E+00,+4.806862418E+00
+734.375E-06,+1.880967343E+00,+4.829224227E+00
+735.938E-06,+1.856846741E+00,+4.838771965E+00
+737.500E-06,+1.832726138E+00,+4.848319704E+00
+739.063E-06,+1.808605535E+00,+4.857867442E+00
+740.625E-06,+1.784484932E+00,+4.867415181E+00
+742.188E-06,+1.760364330E+00,+4.876962920E+00
+743.750E-06,+1.736243727E+00,+4.886510658E+00
+745.313E-06,+1.712123124E+00,+4.896058397E+00
+746.875E-06,+1.688002521E+00,+4.905606135E+00
+748.438E-06,+1.663881919E+00,+4.915153874E+00
+750.000E-06,+1.639761316E+00,+4.924701613E+00
+751.563E-06,+1.616846743E+00,+4.928470457E+00
+753.125E-06,+1.593932171E+00,+4.932239301E+00
+754.688E-06,+1.571017598E+00,+4.936008145E+00
+756.250E-06,+1.548103025E+00,+4.939776989E+00
+757.813E-06,+1.525188453E+00,+4.943545833E+00
+759.375E-06,+1.502273880E+00,+4.947314678E+00
+760.938E-06,+1.479359307E+00,+4.951083522E+00
+762.500E-06,+1.456444735E+00,+4.954852366E+00
+764.063E-06,+1.433530162E+00,+4.958621210E+00
+765.625E-06,+1.410615590E+00,+4.962390054E+00
+767.188E-06,+1.388706042E+00,+4.962892567E+00
+768.750E-06,+1.366796495E+00,+4.963395079E+00
+770.313E-06,+1.344886947E+00,+4.963897592E+00
+771.875E-06,+1.322977400E+00,+4.964400105E+00
+773.438E-06,+1.301067852E+00,+4.964902617E+00
+775.000E-06,+1.279158305E+00,+4.965405130E+00
+776.563E-06,+1.257248757E+00,+4.965907642E+00
+778.125E-06,+1.235339210E+00,+4.966410155E+00
+779.688E-06,+1.213429662E+00,+4.966912667E+00
+781.250E-06,+1.191520115E+00,+4.967415180E+00
+782.813E-06,+1.171419612E+00,+4.967666436E+00
+784.375E-06,+1.151319110E+00,+4.967917692E+00
+785.938E-06,+1.131218608E+00,+4.968168949E+00
+787.500E-06,+1.111118105E+00,+4.968420205E+00
+789.063E-06,+1.091017603E+00,+4.968671461E+00
+790.625E-06,+1.070917101E+00,+4.968922718E+00
+792.188E-06,+1.050816598E+00,+4.969173974E+00
+793.750E-06,+1.030716096E+00,+4.969425230E+00
