time,V(vi),V(vout)
7.816641176942575e-006,0.000000e+000,1.891959e+000
7.849498319799718e-006,0.000000e+000,2.086339e+000
7.882355462656861e-006,0.000000e+000,2.274949e+000
7.915212605514004e-006,0.000000e+000,2.457789e+000
7.948069748371147e-006,0.000000e+000,2.634859e+000
7.980926891228290e-006,0.000000e+000,2.806159e+000
8.013784034085433e-006,0.000000e+000,2.971689e+000
8.046641176942576e-006,0.000000e+000,3.131448e+000
8.079498319799719e-006,0.000000e+000,3.280993e+000
8.112355462656862e-006,0.000000e+000,3.422144e+000
8.145212605514005e-006,0.000000e+000,3.554903e+000
8.178069748371147e-006,0.000000e+000,3.679269e+000
8.210926891228290e-006,0.000000e+000,3.795241e+000
8.243784034085433e-006,0.000000e+000,3.902821e+000
8.276641176942576e-006,0.000000e+000,4.002007e+000
8.328069748371147e-006,0.000000e+000,4.138541e+000
8.379498319799718e-006,0.000000e+000,4.261484e+000
8.430926891228289e-006,0.000000e+000,4.370837e+000
8.482355462656862e-006,0.000000e+000,4.466599e+000
8.533784034085433e-006,0.000000e+000,4.548770e+000
8.585212605514004e-006,0.000000e+000,4.617351e+000
8.636641176942576e-006,0.000000e+000,4.672341e+000
8.668069748371147e-006,0.000000e+000,4.703388e+000
8.699498319799718e-006,0.000000e+000,4.732078e+000
8.730926891228290e-006,0.000000e+000,4.758409e+000
8.762355462656861e-006,0.000000e+000,4.782382e+000
8.793784034085433e-006,0.000000e+000,4.803997e+000
8.825212605514004e-006,0.000000e+000,4.823254e+000
8.856641176942575e-006,0.000000e+000,4.840153e+000
8.869498319799718e-006,0.000000e+000,4.846762e+000
8.882355462656862e-006,0.000000e+000,4.853128e+000
8.895212605514005e-006,0.000000e+000,4.859248e+000
8.908069748371146e-006,0.000000e+000,4.865124e+000
8.920926891228290e-006,0.000000e+000,4.870755e+000
8.933784034085433e-006,0.000000e+000,4.876141e+000
8.946641176942576e-006,0.000000e+000,4.881283e+000
8.956641176942576e-006,0.000000e+000,4.885154e+000
8.985212605514004e-006,0.000000e+000,4.895364e+000
9.013784034085434e-006,0.000000e+000,4.904830e+000
9.042355462656862e-006,0.000000e+000,4.913551e+000
9.070926891228290e-006,0.000000e+000,4.921527e+000
9.099498319799718e-006,0.000000e+000,4.928760e+000
9.128069748371148e-006,0.000000e+000,4.935247e+000
9.156641176942576e-006,0.000000e+000,4.940990e+000
9.183784034085432e-006,0.000000e+000,4.946025e+000
9.210926891228290e-006,0.000000e+000,4.950703e+000
9.238069748371147e-006,0.000000e+000,4.955026e+000
9.265212605514005e-006,0.000000e+000,4.958993e+000
9.292355462656861e-006,0.000000e+000,4.962604e+000
9.319498319799719e-006,0.000000e+000,4.965860e+000
9.346641176942576e-006,0.000000e+000,4.968760e+000
9.373784034085432e-006,0.000000e+000,4.971433e+000
9.400926891228290e-006,0.000000e+000,4.973917e+000
9.428069748371147e-006,0.000000e+000,4.976211e+000
9.455212605514005e-006,0.000000e+000,4.978315e+000
9.482355462656861e-006,0.000000e+000,4.980230e+000
9.509498319799719e-006,0.000000e+000,4.981955e+000
9.536641176942576e-006,0.000000e+000,4.983490e+000
9.563784034085432e-006,0.000000e+000,4.984905e+000
9.590926891228290e-006,0.000000e+000,4.986219e+000
9.618069748371146e-006,0.000000e+000,4.987433e+000
9.645212605514005e-006,0.000000e+000,4.988546e+000
9.672355462656861e-006,0.000000e+000,4.989559e+000
